"participant","mean_forward","mean_backward","difference"
"B1",1.22811182796988,1.09300522627883,0.135106601691051
"B2",1.80374347308023,1.36912164445074,0.434621828629494
"B3",1.47852128988556,1.54824733188714,-0.0697260420015859
"B4",1.49611777234355,1.41513687329202,0.0809808990515288
"B5",1.18303076591568,1.95772301320165,-0.774692247285968
"B6",1.57063145164873,1.22135591062114,0.349275541027584
"B7",1.99486807819717,NA,NA
"B9",1.94421676995481,2.74906871050152,-0.804851940546706
"B10",1.15722986156114,0.822166348307625,0.335063513253519
"B11",1.35008106900736,1.22960344671667,0.120477622290693
"B12",0.858676192557949,0.978053538374089,-0.11937734581614
"B13",1.62629625800355,1.88370916814763,-0.257412910144076
"B14",1.49815605223219,2.05375355555721,-0.555597503325028
"B15",1.44634744178657,0.533300560576992,0.913046881209574
"B16",0.974577681886799,1.07916985863214,-0.104592176745339
"B17",1.71620633245372,2.58786468433178,-0.871658351878059
