"sample","trial","median_body_x","direction"
"B1","1",1.16543898996132,1
"B1","2",1.1392230844266,0
"B1","2",1.36087463862458,1
"B1","3",1.23852211187441,0
"B1","4",0.569139472341421,0
"B1","4",1.01684693005615,1
"B1","5",1.08100532214507,0
"B1","5",1.34755599203999,1
"B1","6",1.46320558073542,0
"B1","6",1.03986294191658,1
"B2","1",2.74794470418785,1
"B2","2",1.7076549210362,0
"B2","2",4.97522005084694,1
"B2","3",1.38503840906452,0
"B2","3",3.31677002470078,1
"B2","4",1.54151280631515,0
"B2","4",1.03362624640219,1
"B2","5",1.44317140943822,1
"B2","6",1.12572120032847,0
"B3","1",1.76848177380388,1
"B3","2",2.99271057753101,0
"B3","2",2.03538990789017,1
"B3","3",1.37857271465001,0
"B3","3",2.08588041544246,1
"B3","4",1.18279087317257,0
"B3","4",1.43357366289283,1
"B3","5",2.03100250673923,0
"B3","6",1.49512536808963,0
"B3","6",1.54436573580897,1
"B4","1",2.20179769894037,1
"B4","2",1.51187500491099,0
"B4","2",1.81900718480337,1
"B4","3",1.69901937613991,0
"B4","3",2.1190329229624,1
"B4","4",1.4915787765372,0
"B4","5",1.01567671948574,0
"B4","5",1.9547793079149,1
"B4","6",1.34347939677857,0
"B4","6",1.47670804688578,1
"B5","1",1.53808605325419,1
"B5","2",3.72903810924949,0
"B5","3",1.51855763562394,0
"B5","3",1.21765543423172,1
"B5","4",1.50952685204934,0
"B5","4",1.06255864639841,1
"B5","5",1.62647214978386,0
"B5","5",1.3259193890295,1
"B5","6",1.7184294211695,0
"B5","6",1.36986828416586,1
"B6","1",2.31499544996722,1
"B6","2",2.292581762827,0
"B6","2",2.20575367112664,1
"B6","3",1.92802955877352,0
"B6","3",1.30596337704034,1
"B6","4",1.35126560899436,0
"B6","5",1.08148871236563,0
"B6","5",1.74909437713106,1
"B6","6",1.3866958303795,1
"B7","1",2.52678077055646,1
"B7","2",2.28849493770347,0
"B7","2",3.31626120070953,1
"B7","3",2.04415064575015,0
"B7","3",1.54887596672782,1
"B7","4",1.11138700592905,0
"B7","4",1.4949986949847,1
"B7","5",2.10889718682877,0
"B7","6",2.07171699407662,0
"B7","6",1.60013615183768,1
"B8","1",1.38001022303191,1
"B8","2",1.91949208582421,0
"B8","2",1.4041916101912,1
"B8","3",1.19982841258597,0
"B8","3",1.27050523788829,1
"B8","4",1.22220234386714,0
"B8","4",1.66846225631989,1
"B8","5",1.21493828325369,0
"B8","5",1.46368708094357,1
"B8","6",1.7920312697857,0
"B9","1",3.57792227166991,1
"B9","2",3.87619785189989,0
"B9","2",5.35243825458636,1
"B9","3",2.35417837587181,0
"B9","4",2.93407398363138,0
"B9","4",1.58975689937539,1
"B9","5",1.40427288789199,0
"B9","5",1.5434206017898,1
"B9","6",1.42722322817928,0
"B9","6",1.53782694468885,1
"B10","1",0.957116101696772,1
"B10","2",1.24376617012597,0
"B10","2",1.28593164802355,1
"B10","3",1.17570248955469,0
"B10","3",5.52198982991931,1
"B10","4",0.7514388641756,0
"B10","5",0.606644193748308,0
"B10","5",0.669545868950907,1
"B10","6",0.752181700726373,0
"B10","6",0.972031142859532,1
"B12","1",0.897248733203146,1
"B12","2",1.35915160174903,0
"B12","2",1.09968351766775,1
"B12","3",1.20488977927336,0
"B12","3",0.779764616580735,1
"B12","4",0.869241607348975,0
"B12","5",0.613194388070878,0
"B12","5",0.714149143360661,1
"B12","6",0.715674885605502,1
"B13","1",2.76135615769374,1
"B13","2",3.69893976438951,0
"B13","2",2.91661966700361,1
"B13","3",2.14796788382756,0
"B13","3",1.64810770893053,1
"B13","4",1.61985041596433,0
"B13","4",1.27748236415478,1
"B13","5",2.46542137454807,0
"B13","6",1.40527798378289,0
"B13","6",2.03143048204942,1
"B14","1",1.5301580918508,1
"B14","2",2.13851788973778,0
"B14","2",2.03214179802181,1
"B14","3",1.99855401130066,0
"B14","3",0.816406651603051,1
"B14","4",1.666258457945,0
"B14","4",1.3712165808459,1
"B14","5",1.12597468683025,1
"B14","6",2.06659093292378,0
"B15","1",1.94875452092533,1
"B15","2",0.713644278688039,0
"B15","2",0.962053750282526,1
"B15","3",0.671273527713202,0
"B15","3",0.864371038312373,1
